기업명,연도,매출액,영업이익,보고서유형
CJ,2016,11566336302000.0,681100958000.0,반기보고서
CJ,2016,12387861095000.0,571812273000.0,사업보고서
CJ,2017,12854667681000.0,629357011000.0,반기보고서
CJ,2017,14043932308000.0,696598328000.0,사업보고서
CJ,2018,14036699638000.0,642828796000.0,반기보고서
CJ,2018,15486735839000.0,689646412000.0,사업보고서
CJ,2019,16248645953000.0,708483904000.0,반기보고서
CJ,2019,17531060712000.0,800670620000.0,사업보고서
CJ,2020,15634006163000.0,623015114000.0,반기보고서
CJ,2020,16365096784000.0,767325052000.0,사업보고서
CJ,2021,16347903609000.0,1014964617000.0,반기보고서
CJ,2021,18136122945000.0,866835482000.0,사업보고서
CJ,2022,19427457819000.0,1185858720000.0,반기보고서
CJ,2022,21497421954000.0,968343070000.0,사업보고서
CJ,2023,20067772567000.0,828234425000.0,반기보고서
CJ,2023,21284915592000.0,1210823464000.0,사업보고서
CJ,2024,21118776699000.0,1242505936000.0,반기보고서
CJ,2024,22527879391000.0,1304977709000.0,사업보고서
CJ CGV,2016,628925475004.0,18557847764.0,반기보고서
CJ CGV,2016,803319971643.0,51778906457.0,사업보고서
CJ CGV,2017,788142424970.0,11454966027.0,반기보고서
CJ CGV,2017,926244748412.0,74787927453.0,사업보고서
CJ CGV,2018,845983075735.0,19441283724.0,반기보고서
CJ CGV,2018,923373391742.0,58265455101.0,사업보고서
CJ CGV,2019,946547212906.0,46975305565.0,반기보고서
CJ CGV,2019,995732116223.0,75000085681.0,사업보고서
CJ CGV,2020,284902076845.0,-202154018926.0,반기보고서
CJ CGV,2020,298541715634.0,-186506271938.0,사업보고서
CJ CGV,2021,334161363820.0,-120093487285.0,반기보고서
CJ CGV,2021,402154002839.0,-121352246732.0,사업보고서
CJ CGV,2022,541724001845.0,-71107177637.0,반기보고서
CJ CGV,2022,739582041940.0,-5658617348.0,사업보고서
CJ CGV,2023,795259003621.0,1680560088.0,반기보고서
CJ CGV,2023,750580239525.0,47385236613.0,사업보고서
CJ CGV,2024,822885557698.0,26885661239.0,반기보고서
CJ CGV,2024,1134998656484.0,49048107659.0,사업보고서
CJ대한통운,2016,2958772909841.0,112890634709.0,반기보고서
CJ대한통운,2016,3123172732363.0,115553855706.0,사업보고서
CJ대한통운,2017,3302757257391.0,112993146704.0,반기보고서
CJ대한통운,2017,3807633950409.0,122658273730.0,사업보고서
CJ대한통운,2018,4286071922167.0,102419718190.0,반기보고서
CJ대한통운,2018,4933608554902.0,140267207430.0,사업보고서
CJ대한통운,2019,4967569774523.0,117135247731.0,반기보고서
CJ대한통운,2019,5447538851297.0,190051098443.0,사업보고서
CJ대한통운,2020,5165358381314.0,142048441971.0,반기보고서
CJ대한통운,2020,5615768768892.0,183289119321.0,사업보고서
CJ대한통운,2021,5439837724335.0,138699093504.0,반기보고서
CJ대한통운,2021,5903814063157.0,205181672163.0,사업보고서
CJ대한통운,2022,5993887943782.0,191790880677.0,반기보고서
CJ대한통운,2022,6136824918592.0,219996006565.0,사업보고서
CJ대한통운,2023,5770252075403.0,211429011089.0,반기보고서
CJ대한통운,2023,5997641587866.0,268805852068.0,사업보고서
CJ대한통운,2024,5980607974533.0,234725888462.0,반기보고서
CJ대한통운,2024,6136153172627.0,295937178671.0,사업보고서
CJ씨푸드,2016,83258837624.0,1851085803.0,반기보고서
CJ씨푸드,2016,90478920212.0,4007044876.0,사업보고서
CJ씨푸드,2017,82765914114.0,2886854305.0,반기보고서
CJ씨푸드,2017,81863800490.0,3671837683.0,사업보고서
CJ씨푸드,2018,73448292949.0,2399469603.0,반기보고서
CJ씨푸드,2018,77254792089.0,1734609134.0,사업보고서
CJ씨푸드,2019,72286749124.0,829635459.0,반기보고서
CJ씨푸드,2019,76882201135.0,2870709798.0,사업보고서
CJ씨푸드,2020,71444957073.0,2290713805.0,반기보고서
CJ씨푸드,2020,77604716924.0,1672142154.0,사업보고서
CJ씨푸드,2021,76950856276.0,3174032994.0,반기보고서
CJ씨푸드,2021,85192095355.0,1325137294.0,사업보고서
CJ씨푸드,2022,71799371260.0,1877673563.0,반기보고서
CJ씨푸드,2022,80902100675.0,2257354280.0,사업보고서
CJ씨푸드,2023,68922843933.0,206308490.0,반기보고서
CJ씨푸드,2023,79425963354.0,3933031508.0,사업보고서
CJ씨푸드,2024,99992999396.0,1162349982.0,반기보고서
CJ씨푸드,2024,93724170885.0,3195506070.0,사업보고서
CJ제일제당,2016,7143627676000.0,443432930000.0,반기보고서
CJ제일제당,2016,7419629570000.0,400205254000.0,사업보고서
CJ제일제당,2017,7775428896000.0,356880278000.0,반기보고서
CJ제일제당,2017,8701745127000.0,419694963000.0,사업보고서
CJ제일제당,2018,8802336934000.0,394863531000.0,반기보고서
CJ제일제당,2018,9867723055000.0,437846149000.0,사업보고서
CJ제일제당,2019,10533063578000.0,354363163000.0,반기보고서
CJ제일제당,2019,11819398718000.0,542494710000.0,사업보고서
CJ제일제당,2020,11751821403000.0,660795495000.0,반기보고서
CJ제일제당,2020,12493904251000.0,698755945000.0,사업보고서
CJ제일제당,2021,12487326946000.0,854647840000.0,반기보고서
CJ제일제당,2021,13801900821000.0,669781552000.0,사업보고서
CJ제일제당,2022,14496504866000.0,939950118000.0,반기보고서
CJ제일제당,2022,15583008255000.0,724758092000.0,사업보고서
CJ제일제당,2023,14290584792000.0,597336042000.0,반기보고서
CJ제일제당,2023,14732888117000.0,694246371000.0,사업보고서
CJ제일제당,2024,14454635152000.0,759504326000.0,반기보고서
CJ제일제당,2024,14904446671000.0,793513312000.0,사업보고서
CS홀딩스,2016,65196257651.0,11607367163.0,반기보고서
CS홀딩스,2016,57948704444.0,8225546241.0,사업보고서
CS홀딩스,2017,62817327790.0,8476509658.0,반기보고서
CS홀딩스,2017,58142494098.0,8559508517.0,사업보고서
CS홀딩스,2018,60287994808.0,6292227283.0,반기보고서
CS홀딩스,2018,62262873770.0,7027213087.0,사업보고서
CS홀딩스,2019,66277229415.0,7978085041.0,반기보고서
CS홀딩스,2019,68694284714.0,9047136674.0,사업보고서
CS홀딩스,2020,69006130131.0,9515166881.0,반기보고서
CS홀딩스,2020,62630954371.0,6386102940.0,사업보고서
CS홀딩스,2021,77932310150.0,10017865755.0,반기보고서
CS홀딩스,2021,81085645159.0,9629835904.0,사업보고서
CS홀딩스,2022,90446307140.0,8511485733.0,반기보고서
CS홀딩스,2022,84820144908.0,7120559602.0,사업보고서
CS홀딩스,2023,88598761181.0,9200046977.0,반기보고서
CS홀딩스,2023,83366478343.0,9928670958.0,사업보고서
CS홀딩스,2024,70170291891.0,10539618555.0,반기보고서
CS홀딩스,2024,71780455378.0,11774462950.0,사업보고서
DB,2016,104593451596.0,7994390914.0,반기보고서
DB,2016,100216516896.0,2908864386.0,사업보고서
DB,2017,84389817632.0,3248154364.0,반기보고서
DB,2017,115139701232.0,832643643.0,사업보고서
DB,2018,92608955708.0,482412174.0,반기보고서
DB,2018,144503679870.0,1094686497.0,사업보고서
DB,2019,112255144124.0,10565162612.0,반기보고서
DB,2019,126250448702.0,7927846974.0,사업보고서
DB,2020,134667285969.0,16352567778.0,반기보고서
DB,2020,137778554093.0,10521628225.0,사업보고서
DB,2021,153838160452.0,15999739503.0,반기보고서
DB,2021,173076444468.0,7472927901.0,사업보고서
DB,2022,197533481117.0,12713204308.0,반기보고서
DB,2022,203812021041.0,10895419072.0,사업보고서
DB,2023,207644952009.0,22554902090.0,반기보고서
DB,2023,250938910795.0,14467866224.0,사업보고서
DB,2024,272505458120.0,17153026046.0,반기보고서
DB,2024,314930232782.0,12474142682.0,사업보고서
DB손해보험,2023,,,사업보고서
DB손해보험,2024,,,반기보고서
DB손해보험,2024,,,사업보고서
DB증권,2023,,,사업보고서
DB증권,2024,682693614919.0,,반기보고서
DB증권,2024,635844318062.0,,사업보고서
DB하이텍,2016,373926908981.0,84925282581.0,반기보고서
DB하이텍,2016,399213271199.0,87502647104.0,사업보고서
DB하이텍,2017,365143770732.0,96806137876.0,반기보고서
DB하이텍,2017,314593972775.0,46389029875.0,사업보고서
DB하이텍,2018,312506014117.0,46562924861.0,반기보고서
DB하이텍,2018,356773122355.0,66430217695.0,사업보고서
DB하이텍,2019,373064768518.0,71671820564.0,반기보고서
DB하이텍,2019,434351654400.0,109620367395.0,사업보고서
DB하이텍,2020,467454112891.0,141805667981.0,반기보고서
DB하이텍,2020,468465653593.0,97529513331.0,사업보고서
DB하이텍,2021,518386729307.0,141980438160.0,반기보고서
DB하이텍,2021,696295310871.0,257126340143.0,사업보고서
DB하이텍,2022,830766625587.0,394741801969.0,반기보고서
DB하이텍,2022,844520908079.0,374004883771.0,사업보고서
DB하이텍,2023,606984791022.0,172909260841.0,반기보고서
DB하이텍,2023,547238847918.0,92528195532.0,사업보고서
DB하이텍,2024,559885904854.0,108493882442.0,반기보고서
DB하이텍,2024,571281804950.0,82344800921.0,사업보고서
DH오토넥스,2016,224192148994.0,8321529361.0,반기보고서
DH오토넥스,2016,209920821784.0,2043066905.0,사업보고서
DH오토넥스,2017,233275982292.0,559692475.0,반기보고서
DH오토넥스,2017,224466073863.0,6322963303.0,사업보고서
DH오토넥스,2018,229386868931.0,17605548560.0,반기보고서
DH오토넥스,2018,274023314594.0,18908265490.0,사업보고서
DH오토넥스,2019,290377563917.0,18611124771.0,반기보고서
DH오토넥스,2019,166885739327.0,-2304458541.0,사업보고서
DH오토넥스,2020,208457775692.0,4701082774.0,반기보고서
DH오토넥스,2020,244470627043.0,9841104048.0,사업보고서
DH오토넥스,2021,236774794676.0,4684630869.0,반기보고서
DH오토넥스,2021,275199003267.0,8472709744.0,사업보고서
DH오토넥스,2022,249647447693.0,13180767692.0,반기보고서
DH오토넥스,2022,287029305729.0,9024323829.0,사업보고서
DH오토넥스,2023,264339288444.0,3106162584.0,반기보고서
DH오토넥스,2023,-231549013179.0,-33051841900.0,사업보고서
DH오토넥스,2024,18089960961.0,-3075338982.0,반기보고서
DH오토넥스,2024,14290417341.0,-5488762608.0,사업보고서
DKME,2016,95124981836.0,2922352780.0,반기보고서
DKME,2016,96230136783.0,-14426998224.0,사업보고서
DKME,2017,94073886152.0,4038822329.0,반기보고서
DKME,2017,62115237548.0,2699366310.0,사업보고서
DKME,2018,44791927247.0,-3244141340.0,반기보고서
DKME,2018,45426502719.0,-12203159156.0,사업보고서
DKME,2019,73802819857.0,10478914456.0,반기보고서
DKME,2019,73314652573.0,9303587551.0,사업보고서
DKME,2020,69733661200.0,5471027613.0,반기보고서
DKME,2020,55211218522.0,4112283530.0,사업보고서
DKME,2021,45611125714.0,462040725.0,반기보고서
DKME,2021,35094101155.0,-15430158724.0,사업보고서
DKME,2022,43443296751.0,5602083395.0,반기보고서
DKME,2022,62230610580.0,7334831755.0,사업보고서
DKME,2023,65418120503.0,8381635263.0,반기보고서
DKME,2023,71832655209.0,4501954620.0,사업보고서
DKME,2024,63815733557.0,314715443.0,반기보고서
DKME,2024,72807832754.0,9707399036.0,사업보고서
DL,2016,4817495253255.0,226949059362.0,반기보고서
DL,2016,5036274745879.0,192438676915.0,사업보고서
DL,2017,5617646387303.0,257020259020.0,반기보고서
DL,2017,6717889845303.0,288878591434.0,사업보고서
DL,2018,5793042004796.0,473202999655.0,반기보고서
DL,2018,5191443287504.0,372155146060.0,사업보고서
DL,2019,4789660850205.0,538618524389.0,반기보고서
DL,2019,4910418041359.0,591502467022.0,사업보고서
DL,2020,5011432543240.0,596474465050.0,반기보고서
DL,2020,-3445283731556.0,-477424699371.0,사업보고서
DL,2021,1091146048718.0,113406083170.0,반기보고서
DL,2021,1267628748061.0,79756002227.0,사업보고서
DL,2022,2352934064393.0,91212178501.0,반기보고서
DL,2022,2822016360715.0,196247277940.0,사업보고서
DL,2023,2506199263412.0,61939998427.0,반기보고서
DL,2023,2511616557830.0,88756393294.0,사업보고서
DL,2024,2896190038873.0,315149570241.0,반기보고서
DL,2024,2719178460108.0,97368822717.0,사업보고서
DN오토모티브,2016,495816738323.0,54071698711.0,반기보고서
DN오토모티브,2016,463214908706.0,38078574367.0,사업보고서
DN오토모티브,2017,511088402296.0,39236708891.0,반기보고서
DN오토모티브,2017,366770593182.0,20234351896.0,사업보고서
DN오토모티브,2018,471751411256.0,41424221914.0,반기보고서
DN오토모티브,2018,436769610941.0,30267135043.0,사업보고서
DN오토모티브,2019,475778986623.0,40134987196.0,반기보고서
DN오토모티브,2019,453993590635.0,40094921227.0,사업보고서
DN오토모티브,2020,367615541283.0,23038923397.0,반기보고서
DN오토모티브,2020,456264902856.0,48368984540.0,사업보고서
DN오토모티브,2021,475216295534.0,44755163716.0,반기보고서
DN오토모티브,2021,455536434866.0,44890179694.0,사업보고서
DN오토모티브,2022,1435087755045.0,149970611017.0,반기보고서
DN오토모티브,2022,1721288468525.0,271557874843.0,사업보고서
DN오토모티브,2023,1661667295169.0,257946044527.0,반기보고서
DN오토모티브,2023,1607575769947.0,232443652620.0,사업보고서
DN오토모티브,2024,1666086594692.0,272254109788.0,반기보고서
DN오토모티브,2024,1768455673308.0,250662697212.0,사업보고서
DRB동일,2016,277280124943.0,32681590621.0,반기보고서
DRB동일,2016,273972366878.0,34787690585.0,사업보고서
DRB동일,2017,279079866568.0,7402484051.0,반기보고서
DRB동일,2017,267784587395.0,26507345574.0,사업보고서
DRB동일,2018,272668127454.0,15044726004.0,반기보고서
DRB동일,2018,272763239677.0,12001861450.0,사업보고서
DRB동일,2019,265497183632.0,12637335714.0,반기보고서
DRB동일,2019,281497777544.0,13838022764.0,사업보고서
DRB동일,2020,239307779458.0,8943135482.0,반기보고서
DRB동일,2020,257330549634.0,12106824447.0,사업보고서
DRB동일,2021,259248693163.0,2015109502.0,반기보고서
DRB동일,2021,292088506825.0,-1437547021.0,사업보고서
DRB동일,2022,305107370437.0,107083798.0,반기보고서
DRB동일,2022,356706646040.0,12003237443.0,사업보고서
DRB동일,2023,363530795273.0,23100488663.0,반기보고서
DRB동일,2023,374246972559.0,12745456860.0,사업보고서
DRB동일,2024,388092290443.0,19903535441.0,반기보고서
DRB동일,2024,364595837518.0,1966522322.0,사업보고서
DSR,2016,100476424690.0,6909243058.0,반기보고서
DSR,2016,100583638090.0,6446473074.0,사업보고서
DSR,2017,111556744212.0,8417202280.0,반기보고서
DSR,2017,114814832573.0,5474439131.0,사업보고서
DSR,2018,117554621092.0,4680789038.0,반기보고서
DSR,2018,118467753536.0,5225043110.0,사업보고서
DSR,2019,118341462777.0,5113947110.0,반기보고서
DSR,2019,117982660076.0,5545393121.0,사업보고서
DSR,2020,118642349093.0,6941799388.0,반기보고서
DSR,2020,112337505157.0,5133880283.0,사업보고서
DSR,2021,132385917141.0,7887962819.0,반기보고서
DSR,2021,140031734569.0,5566468768.0,사업보고서
DSR,2022,182022623440.0,16904804009.0,반기보고서
DSR,2022,185434212791.0,18870087399.0,사업보고서
DSR,2023,151207518096.0,12552415409.0,반기보고서
DSR,2023,139887568522.0,11709438218.0,사업보고서
DSR,2024,143574875414.0,10259426504.0,반기보고서
DSR,2024,156234247938.0,5081087547.0,사업보고서
DSR제강,2016,85199810993.0,4075558845.0,반기보고서
DSR제강,2016,87336087768.0,3588910268.0,사업보고서
DSR제강,2017,91656202239.0,2230723772.0,반기보고서
DSR제강,2017,85889007411.0,247644623.0,사업보고서
DSR제강,2018,91201951461.0,2917200714.0,반기보고서
DSR제강,2018,94052062251.0,3320428444.0,사업보고서
DSR제강,2019,96251063414.0,3412994329.0,반기보고서
DSR제강,2019,95228104950.0,1790279788.0,사업보고서
DSR제강,2020,89494416741.0,3365702075.0,반기보고서
DSR제강,2020,86712150038.0,168340506.0,사업보고서
DSR제강,2021,96775605309.0,-826000142.0,반기보고서
DSR제강,2021,110367154287.0,5117637609.0,사업보고서
DSR제강,2022,126339021870.0,11463964111.0,반기보고서
DSR제강,2022,135348139878.0,14903449635.0,사업보고서
DSR제강,2023,105923903541.0,11321505705.0,반기보고서
DSR제강,2023,107029717088.0,12173476123.0,사업보고서
DSR제강,2024,103559290263.0,11022137692.0,반기보고서
DSR제강,2024,112023094834.0,8488918832.0,사업보고서
E1,2016,1974355041152.0,44077601844.0,반기보고서
E1,2016,2021545555620.0,-32989732622.0,사업보고서
E1,2017,2129464339822.0,41183524452.0,반기보고서
E1,2017,2278752094791.0,52510827010.0,사업보고서
E1,2018,2241219999991.0,35782321484.0,반기보고서
E1,2018,2388979430907.0,-21769448018.0,사업보고서
E1,2019,2172230477124.0,33231343075.0,반기보고서
E1,2019,2436039345940.0,73078581521.0,사업보고서
E1,2020,2151365429747.0,74276447648.0,반기보고서
E1,2020,1776188806868.0,-34745588567.0,사업보고서
E1,2021,2326569265865.0,42094312024.0,반기보고서
E1,2021,2825731631612.0,-36518997526.0,사업보고서
E1,2022,3975985294985.0,66921142581.0,반기보고서
E1,2022,4014782602678.0,211809549852.0,사업보고서
E1,2023,3884419936147.0,169302942586.0,반기보고서
E1,2023,3943317130382.0,-76127876727.0,사업보고서
E1,2024,5426881547375.0,209114685874.0,반기보고서
E1,2024,5765530264638.0,8490847195.0,사업보고서
F&F 홀딩스,2016,176511400771.0,9975255293.0,반기보고서
F&F 홀딩스,2016,262468254252.0,35645979507.0,사업보고서
F&F 홀딩스,2017,215179894742.0,29252434141.0,반기보고서
F&F 홀딩스,2017,345338282253.0,68862353865.0,사업보고서
F&F 홀딩스,2018,280671498028.0,37305161397.0,반기보고서
F&F 홀딩스,2018,388055305129.0,54213253030.0,사업보고서
F&F 홀딩스,2019,364214238125.0,47829629490.0,반기보고서
F&F 홀딩스,2019,546122326995.0,102906645877.0,사업보고서
F&F 홀딩스,2020,332777713062.0,37812054328.0,반기보고서
F&F 홀딩스,2020,504838128608.0,84766931580.0,사업보고서
F&F 홀딩스,2021,16827853020.0,2404206178.0,반기보고서
F&F 홀딩스,2021,710298492345.0,220646249282.0,사업보고서
F&F 홀딩스,2022,809960572125.0,210533137086.0,반기보고서
F&F 홀딩스,2022,1006854365352.0,275698423270.0,사업보고서
F&F 홀딩스,2023,905919967036.0,240405785419.0,반기보고서
F&F 홀딩스,2023,1080376536843.0,273985903624.0,사업보고서
F&F 홀딩스,2024,899797278074.0,206118175099.0,반기보고서
F&F 홀딩스,2024,998504284817.0,210248532481.0,사업보고서
GKL,2016,265576022354.0,73522508518.0,반기보고서
GKL,2016,282654000778.0,77660434157.0,사업보고서
GKL,2017,234977834004.0,49118369140.0,반기보고서
GKL,2017,266317689769.0,59050141760.0,사업보고서
GKL,2018,238073718840.0,66082978017.0,반기보고서
GKL,2018,242265495041.0,38975484344.0,사업보고서
GKL,2019,226540906715.0,43430957444.0,반기보고서
GKL,2019,264211557645.0,53371677038.0,사업보고서
GKL,2020,134769547063.0,-5186565624.0,반기보고서
GKL,2020,49692784981.0,-83624238910.0,사업보고서
GKL,2021,38247839740.0,-72544717079.0,반기보고서
GKL,2021,46839020931.0,-73284029589.0,사업보고서
GKL,2022,94940474401.0,-23937354041.0,반기보고서
GKL,2022,167170076664.0,10020075841.0,사업보고서
GKL,2023,209395560277.0,38224502201.0,반기보고서
GKL,2023,187298087596.0,12793378814.0,사업보고서
GKL,2024,196771122488.0,27059305634.0,반기보고서
GKL,2024,199618893679.0,11265240305.0,사업보고서
GS,2016,6441829000000.0,829402000000.0,반기보고서
GS,2016,7020597000000.0,924822000000.0,사업보고서
GS,2017,7773685000000.0,1037443000000.0,반기보고서
GS,2017,8436257000000.0,1033791000000.0,사업보고서
GS,2018,9037513000000.0,1123691000000.0,반기보고서
GS,2018,8706872000000.0,1086146000000.0,사업보고서
GS,2019,8926861000000.0,1000526000000.0,반기보고서
GS,2019,8859202000000.0,1032616000000.0,사업보고서
GS,2020,7861619000000.0,166735000000.0,반기보고서
GS,2020,7582595000000.0,753834000000.0,사업보고서
GS,2021,8725080000000.0,1191923000000.0,반기보고서
GS,2021,11515005000000.0,1448349000000.0,사업보고서
GS,2022,14249802000000.0,2770469000000.0,반기보고서
GS,2022,14527246000000.0,2234658000000.0,사업보고서
GS,2023,13000240000000.0,1760217000000.0,반기보고서
GS,2023,12978254000000.0,1961585000000.0,사업보고서
GS,2024,12492656000000.0,1814363000000.0,반기보고서
GS,2024,12804811000000.0,1245800000000.0,사업보고서
GS건설,2016,5345510774472.0,51775224482.0,반기보고서
GS건설,2016,5690085628192.0,91202547467.0,사업보고서
GS건설,2017,5695301596957.0,144921639069.0,반기보고서
GS건설,2017,5984154409425.0,173747786116.0,사업보고서
GS건설,2018,6709362608340.0,609061068911.0,반기보고서
GS건설,2018,6430010314921.0,455428108174.0,사업보고서
GS건설,2019,5176872848929.0,397315845734.0,반기보고서
GS건설,2019,5239716352892.0,369950843343.0,사업보고서
GS건설,2020,4988841258621.0,336170543611.0,반기보고서
GS건설,2020,5134089578829.0,414227302274.0,사업보고서
GS건설,2021,4245809036514.0,301545392492.0,반기보고서
GS건설,2021,4790766386289.0,344940146843.0,사업보고서
GS건설,2022,5423767791910.0,317639305852.0,반기보고서
GS건설,2022,6875428422842.0,237195524663.0,사업보고서
GS건설,2023,7007738452800.0,-254885640230.0,반기보고서
GS건설,2023,6428946451671.0,-133059760841.0,사업보고서
GS건설,2024,6368101291695.0,163952630144.0,반기보고서
GS건설,2024,6495710176691.0,122001705643.0,사업보고서
GS글로벌,2016,1185743281256.0,16945332006.0,반기보고서
GS글로벌,2016,1368047639016.0,19466462917.0,사업보고서
GS글로벌,2017,1617380798659.0,27168378732.0,반기보고서
GS글로벌,2017,1770008207487.0,20855037202.0,사업보고서
GS글로벌,2018,2031794823458.0,31666174824.0,반기보고서
GS글로벌,2018,2026732745199.0,24463725634.0,사업보고서
GS글로벌,2019,2156818957781.0,32947978746.0,반기보고서
GS글로벌,2019,1732581340431.0,25329417017.0,사업보고서
GS글로벌,2020,1532058601714.0,33793800093.0,반기보고서
GS글로벌,2020,1282962377743.0,-1493871378.0,사업보고서
GS글로벌,2021,1480917463890.0,19319573350.0,반기보고서
GS글로벌,2021,2368123056399.0,19527130100.0,사업보고서
GS글로벌,2022,2620725966096.0,43689876557.0,반기보고서
GS글로벌,2022,2450197151258.0,26777727425.0,사업보고서
GS글로벌,2023,2013274825636.0,40519985720.0,반기보고서
GS글로벌,2023,1903217741150.0,35999072853.0,사업보고서
GS글로벌,2024,1919592331000.0,38346663000.0,반기보고서
GS글로벌,2024,2146901597000.0,39533134000.0,사업보고서
GS리테일,2016,3491199353963.0,94346812158.0,반기보고서
GS리테일,2016,3910806363733.0,123711861373.0,사업보고서
GS리테일,2017,3934181321534.0,79201904509.0,반기보고서
GS리테일,2017,4332385826147.0,86511739453.0,사업보고서
GS리테일,2018,4193684110012.0,77332786894.0,반기보고서
GS리테일,2018,4497928203021.0,102926417371.0,사업보고서
GS리테일,2019,4390482627178.0,98393026665.0,반기보고서
GS리테일,2019,4616446165821.0,140442929255.0,사업보고서
GS리테일,2020,4352606225441.0,147925230121.0,반기보고서
GS리테일,2020,4509712713966.0,104641985418.0,사업보고서
GS리테일,2021,4385714113635.0,80324991907.0,반기보고서
GS리테일,2021,5379981220202.0,128144092966.0,사업보고서
GS리테일,2022,5400361876827.0,67665440749.0,반기보고서
GS리테일,2022,5826066646731.0,177466532315.0,사업보고서
GS리테일,2023,5658011766043.0,143771998339.0,반기보고서
GS리테일,2023,5954536154695.0,250183341284.0,사업보고서
GS리테일,2024,5638178038404.0,130756275947.0,반기보고서
GS리테일,2024,5988742236509.0,108348600966.0,사업보고서
HDC,2016,2188385112796.0,246581295341.0,반기보고서
HDC,2016,2561501253022.0,270627567780.0,사업보고서
HDC,2017,2497245631212.0,282222456347.0,반기보고서
HDC,2017,2861439065610.0,363913124646.0,사업보고서
HDC,2018,750611610617.0,56489778613.0,반기보고서
HDC,2018,797229188208.0,38937663064.0,사업보고서
HDC,2019,821157450854.0,69476943024.0,반기보고서
HDC,2019,795534798436.0,58644551488.0,사업보고서
HDC,2020,1592321778090.0,201412294708.0,반기보고서
HDC,2020,2359541223998.0,343258500080.0,사업보고서
HDC,2021,2199250644977.0,252278682517.0,반기보고서
HDC,2021,2580335683825.0,116418352732.0,사업보고서
HDC,2022,2548324556649.0,-12440485735.0,반기보고서
HDC,2022,2496619974980.0,170975964177.0,사업보고서
HDC,2023,2859124404829.0,110375820317.0,반기보고서
HDC,2023,3049160227450.0,202267437021.0,사업보고서
HDC,2024,2911065037306.0,159811372754.0,반기보고서
HDC,2024,3289195218024.0,184887305349.0,사업보고서
HDC현대EP,2016,424048156585.0,37731342618.0,반기보고서
HDC현대EP,2016,437110866188.0,31134536400.0,사업보고서
HDC현대EP,2017,448538730485.0,19034760597.0,반기보고서
HDC현대EP,2017,465814772273.0,22436668611.0,사업보고서
HDC현대EP,2018,457796361955.0,16274972468.0,반기보고서
HDC현대EP,2018,453013251724.0,-1920881608.0,사업보고서
HDC현대EP,2019,436215213703.0,21197359578.0,반기보고서
HDC현대EP,2019,398893207262.0,12868010758.0,사업보고서
HDC현대EP,2020,325623203679.0,17454747271.0,반기보고서
HDC현대EP,2020,363798206548.0,17128115713.0,사업보고서
HDC현대EP,2021,414508517847.0,14445873193.0,반기보고서
HDC현대EP,2021,445248584080.0,13924688256.0,사업보고서
HDC현대EP,2022,520245380875.0,7110292032.0,반기보고서
HDC현대EP,2022,525634622729.0,13276907842.0,사업보고서
HDC현대EP,2023,515800995010.0,19798041787.0,반기보고서
HDC현대EP,2023,492319089633.0,13242027059.0,사업보고서
HDC현대EP,2024,501081125420.0,19295507605.0,반기보고서
