기업명,연도,보고서유형,평균급여,남성직원수,여성직원수,정규직수,계약직수,남성정규직수,남성계약직수,여성정규직수,여성계약직수,평균급여증감율,남성직원수증감율,여성직원수증감율,정규직수증감율,계약직수증감율,남성정규직수증감율,남성계약직수증감율,여성정규직수증감율,여성계약직수증감율
AK홀딩스,2021,사업보고서,50842105.2631579,16.0,3.0,18.0,1.0,15.0,1.0,3.0,0.0,-9.125117591721544,6.666666666666667,-25.0,0.0,0.0,7.142857142857142,0.0,-25.0,
AK홀딩스,2022,반기보고서,39666666.666666664,17.0,4.0,20.0,1.0,16.0,1.0,4.0,0.0,-21.980676328502426,6.25,33.33333333333333,11.11111111111111,0.0,6.666666666666667,0.0,33.33333333333333,
AK홀딩스,2022,사업보고서,40739130.43478261,19.0,4.0,22.0,1.0,18.0,1.0,4.0,0.0,2.7036901717208703,11.76470588235294,0.0,10.0,0.0,12.5,0.0,0.0,
AK홀딩스,2023,반기보고서,48681818.18181818,19.0,3.0,21.0,1.0,18.0,1.0,3.0,0.0,19.496458717376534,0.0,-25.0,-4.545454545454546,0.0,0.0,0.0,-25.0,
AK홀딩스,2023,사업보고서,50217391.30434783,20.0,3.0,22.0,1.0,19.0,1.0,3.0,0.0,3.1543052003410144,5.263157894736842,0.0,4.761904761904762,0.0,5.555555555555555,0.0,0.0,
AK홀딩스,2024,반기보고서,56347826.08695652,20.0,3.0,23.0,0.0,20.0,0.0,3.0,0.0,12.207792207792206,0.0,0.0,4.545454545454546,-100.0,5.263157894736842,-100.0,0.0,
AK홀딩스,2024,사업보고서,37047619.047619045,18.0,3.0,21.0,0.0,18.0,0.0,3.0,0.0,-34.25191064079954,-10.0,0.0,-8.695652173913043,,-10.0,,0.0,
BNK금융지주,2016,반기보고서,40319587.62886598,89.0,8.0,87.0,10.0,79.0,10.0,8.0,0.0,,,,,,,,,
BNK금융지주,2016,사업보고서,39206521.73913044,84.0,8.0,86.0,6.0,78.0,6.0,8.0,0.0,-2.7606083176770033,-5.617977528089887,0.0,-1.1494252873563218,-40.0,-1.2658227848101267,-40.0,0.0,
BNK금융지주,2017,반기보고서,36388888.88888889,95.0,13.0,95.0,13.0,85.0,10.0,10.0,3.0,-7.186643255398462,13.095238095238097,62.5,10.465116279069768,116.66666666666667,8.974358974358974,66.66666666666666,25.0,
BNK금융지주,2017,사업보고서,29669230.769230768,109.0,21.0,111.0,19.0,97.0,12.0,14.0,7.0,-18.466236054022314,14.736842105263156,61.53846153846154,16.842105263157894,46.15384615384615,14.117647058823529,20.0,40.0,133.33333333333331
BNK금융지주,2018,반기보고서,42413333.333333336,128.0,22.0,126.0,24.0,110.0,18.0,16.0,6.0,42.95393656555183,17.431192660550458,4.761904761904762,13.513513513513514,26.31578947368421,13.402061855670103,50.0,14.285714285714285,-14.285714285714285
BNK금융지주,2018,사업보고서,59416149.06832298,139.0,22.0,138.0,23.0,122.0,17.0,16.0,6.0,40.088374100101326,8.59375,0.0,9.523809523809524,-4.166666666666666,10.909090909090908,-5.555555555555555,0.0,0.0
BNK금융지주,2019,반기보고서,60374149.65986395,126.0,21.0,128.0,19.0,113.0,13.0,15.0,6.0,1.6123572573499494,-9.352517985611511,-4.545454545454546,-7.246376811594203,-17.391304347826086,-7.377049180327869,-23.52941176470588,-6.25,0.0
BNK금융지주,2019,사업보고서,52239583.333333336,87.0,9.0,79.0,17.0,74.0,13.0,5.0,4.0,-13.473591549295774,-30.952380952380953,-57.14285714285714,-38.28125,-10.526315789473683,-34.51327433628318,0.0,-66.66666666666666,-33.33333333333333
BNK금융지주,2020,반기보고서,82625000.0,88.0,8.0,82.0,14.0,76.0,12.0,6.0,2.0,58.1655034895314,1.1494252873563218,-11.11111111111111,3.79746835443038,-17.647058823529413,2.7027027027027026,-7.6923076923076925,20.0,-50.0
BNK금융지주,2020,사업보고서,71865979.38144329,87.0,10.0,84.0,13.0,77.0,10.0,7.0,3.0,-13.021507556498285,-1.1363636363636365,25.0,2.4390243902439024,-7.142857142857142,1.3157894736842104,-16.666666666666664,16.666666666666664,50.0
BNK금융지주,2021,반기보고서,97474747.47474748,90.0,9.0,83.0,16.0,77.0,13.0,6.0,3.0,35.634062617278815,3.4482758620689653,-10.0,-1.1904761904761905,23.076923076923077,0.0,30.0,-14.285714285714285,0.0
BNK금융지주,2021,사업보고서,72309090.9090909,97.0,13.0,90.0,20.0,83.0,14.0,7.0,6.0,-25.817616580310887,7.777777777777778,44.44444444444444,8.433734939759036,25.0,7.792207792207792,7.6923076923076925,16.666666666666664,100.0
BNK금융지주,2022,반기보고서,93825688.07339449,96.0,13.0,93.0,16.0,87.0,9.0,6.0,7.0,29.756420518901113,-1.0309278350515463,0.0,3.3333333333333335,-20.0,4.819277108433735,-35.714285714285715,-14.285714285714285,16.666666666666664
BNK금융지주,2022,사업보고서,70104347.82608695,102.0,13.0,95.0,20.0,90.0,12.0,5.0,8.0,-25.282351490725745,6.25,0.0,2.1505376344086025,25.0,3.4482758620689653,33.33333333333333,-16.666666666666664,14.285714285714285
BNK금융지주,2023,반기보고서,90674603.17460318,114.0,12.0,109.0,17.0,105.0,9.0,4.0,8.0,29.3423389367324,11.76470588235294,-7.6923076923076925,14.736842105263156,-15.0,16.666666666666664,-25.0,-20.0,0.0
BNK금융지주,2023,사업보고서,67694214.87603305,106.0,15.0,103.0,18.0,98.0,8.0,5.0,10.0,-25.343798036059834,-7.017543859649122,25.0,-5.5045871559633035,5.88235294117647,-6.666666666666667,-11.11111111111111,25.0,25.0
BNK금융지주,2024,반기보고서,98484848.48484848,115.0,17.0,114.0,18.0,106.0,9.0,8.0,9.0,45.48488178081635,8.49056603773585,13.333333333333334,10.679611650485436,0.0,8.16326530612245,12.5,60.0,-10.0
BNK금융지주,2024,사업보고서,53791666.666666664,104.0,16.0,103.0,17.0,95.0,9.0,8.0,8.0,-45.38076923076923,-9.565217391304348,-5.88235294117647,-9.649122807017543,-5.555555555555555,-10.377358490566039,0.0,0.0,-11.11111111111111
BYC,2016,반기보고서,14159489.226869455,390.0,399.0,702.0,87.0,323.0,67.0,379.0,20.0,,,,,,,,,
BYC,2016,사업보고서,14989131.299734749,382.0,372.0,665.0,89.0,313.0,69.0,352.0,20.0,5.8592655396844515,-2.051282051282051,-6.7669172932330826,-5.270655270655271,2.2988505747126435,-3.0959752321981426,2.9850746268656714,-7.12401055408971,0.0
BYC,2017,반기보고서,14957249.006622517,376.0,379.0,670.0,85.0,308.0,68.0,362.0,17.0,-0.21270274090397495,-1.5706806282722512,1.881720430107527,0.7518796992481203,-4.49438202247191,-1.5974440894568689,-1.4492753623188406,2.840909090909091,-15.0
BYC,2017,사업보고서,17297974.59893048,369.0,379.0,667.0,81.0,305.0,64.0,362.0,17.0,15.649439220217417,-1.8617021276595744,0.0,-0.44776119402985076,-4.705882352941177,-0.974025974025974,-5.88235294117647,0.0,0.0
BYC,2018,반기보고서,16469660.714285715,319.0,353.0,616.0,56.0,277.0,42.0,339.0,14.0,-4.7885021446151335,-13.550135501355012,-6.860158311345646,-7.646176911544228,-30.864197530864196,-9.180327868852459,-34.375,-6.353591160220995,-17.647058823529413
BYC,2018,사업보고서,17395453.172205437,305.0,357.0,608.0,54.0,265.0,40.0,343.0,14.0,5.621199331184121,-4.38871473354232,1.13314447592068,-1.2987012987012987,-3.571428571428571,-4.332129963898916,-4.761904761904762,1.1799410029498525,0.0
BYC,2019,반기보고서,16351578.369905956,298.0,340.0,591.0,47.0,264.0,34.0,327.0,13.0,-6.000848566379348,-2.2950819672131146,-4.761904761904762,-2.7960526315789473,-12.962962962962962,-0.37735849056603776,-15.0,-4.664723032069971,-7.142857142857142
BYC,2019,사업보고서,17219737.160120845,312.0,350.0,610.0,52.0,276.0,36.0,334.0,16.0,5.309327152250208,4.697986577181208,2.941176470588235,3.2148900169204735,10.638297872340425,4.545454545454546,5.88235294117647,2.1406727828746175,23.076923076923077
BYC,2020,반기보고서,16716249.6124031,309.0,336.0,604.0,41.0,281.0,28.0,323.0,13.0,-2.9238979842489714,-0.9615384615384616,-4.0,-0.9836065573770493,-21.153846153846153,1.8115942028985508,-22.22222222222222,-3.293413173652695,-18.75
BYC,2020,사업보고서,18296383.050847456,273.0,317.0,557.0,33.0,250.0,23.0,307.0,10.0,9.452679130083881,-11.650485436893204,-5.654761904761905,-7.781456953642383,-19.51219512195122,-11.032028469750891,-17.857142857142858,-4.953560371517028,-23.076923076923077
BYC,2021,반기보고서,17502411.558669,274.0,297.0,544.0,27.0,252.0,22.0,292.0,5.0,-4.339499725010838,0.3663003663003663,-6.309148264984227,-2.333931777378815,-18.181818181818183,0.8,-4.3478260869565215,-4.88599348534202,-50.0
BYC,2021,사업보고서,18543657.243816253,270.0,296.0,537.0,29.0,246.0,24.0,291.0,5.0,5.949155530121902,-1.4598540145985401,-0.33670033670033667,-1.2867647058823528,7.4074074074074066,-2.380952380952381,9.090909090909092,-0.3424657534246575,0.0
BYC,2022,반기보고서,18090288.22495606,267.0,302.0,537.0,32.0,241.0,26.0,296.0,6.0,-2.444873807249516,-1.1111111111111112,2.027027027027027,0.0,10.344827586206897,-2.0325203252032518,8.333333333333332,1.718213058419244,20.0
BYC,2022,사업보고서,19266273.684210528,264.0,306.0,540.0,30.0,239.0,25.0,301.0,5.0,6.500645233679367,-1.1235955056179776,1.3245033112582782,0.5586592178770949,-6.25,-0.8298755186721992,-3.8461538461538463,1.6891891891891893,-16.666666666666664
BYC,2023,반기보고서,19117240.64171123,257.0,304.0,530.0,31.0,230.0,27.0,300.0,4.0,-0.7735436802262122,-2.6515151515151514,-0.6535947712418301,-1.8518518518518516,3.3333333333333335,-3.765690376569038,8.0,-0.33222591362126247,-20.0
BYC,2023,사업보고서,20112614.003590666,253.0,304.0,531.0,26.0,230.0,23.0,301.0,3.0,5.206679041888841,-1.556420233463035,0.0,0.18867924528301888,-16.129032258064516,0.0,-14.814814814814813,0.33333333333333337,-25.0
BYC,2024,반기보고서,19475918.032786883,244.0,305.0,521.0,28.0,219.0,25.0,302.0,3.0,-3.1656549998429555,-3.557312252964427,0.3289473684210526,-1.8832391713747645,7.6923076923076925,-4.782608695652174,8.695652173913043,0.33222591362126247,0.0
BYC,2024,사업보고서,18562753.5971223,238.0,318.0,525.0,31.0,210.0,28.0,315.0,3.0,-4.688684939663996,-2.459016393442623,4.2622950819672125,0.7677543186180422,10.714285714285714,-4.10958904109589,12.0,4.304635761589404,0.0
CJ,2016,반기보고서,36205882.35294118,21.0,13.0,34.0,0.0,21.0,0.0,13.0,0.0,,,,,,,,,
CJ,2016,사업보고서,34558823.52941176,21.0,13.0,34.0,0.0,21.0,0.0,13.0,0.0,-4.549147034930959,0.0,0.0,0.0,,0.0,,0.0,
CJ,2017,반기보고서,37483870.96774194,18.0,13.0,31.0,0.0,18.0,0.0,13.0,0.0,8.463967055593693,-14.285714285714285,0.0,-8.823529411764707,,-14.285714285714285,,0.0,
CJ,2017,사업보고서,44071428.571428575,15.0,13.0,28.0,0.0,15.0,0.0,13.0,0.0,17.574379149250067,-16.666666666666664,0.0,-9.67741935483871,,-16.666666666666664,,0.0,
CJ,2018,반기보고서,38176470.5882353,20.0,14.0,34.0,0.0,20.0,0.0,14.0,0.0,-13.37591762799123,33.33333333333333,7.6923076923076925,21.428571428571427,,33.33333333333333,,7.6923076923076925,
CJ,2018,사업보고서,362655172.4137931,38.0,20.0,57.0,1.0,37.0,1.0,20.0,0.0,849.944211253387,90.0,42.857142857142854,67.64705882352942,,85.0,,42.857142857142854,
CJ,2019,반기보고서,124875000.0,45.0,19.0,62.0,2.0,43.0,2.0,19.0,0.0,-65.56646382048112,18.421052631578945,-5.0,8.771929824561402,100.0,16.216216216216218,100.0,-5.0,
CJ,2019,사업보고서,249030769.23076922,45.0,20.0,63.0,2.0,43.0,2.0,20.0,0.0,99.4240394240394,0.0,5.263157894736842,1.6129032258064515,0.0,0.0,0.0,5.263157894736842,
CJ,2020,반기보고서,140785714.2857143,41.0,15.0,50.0,6.0,36.0,5.0,14.0,1.0,-43.46653840383375,-8.88888888888889,-25.0,-20.634920634920633,200.0,-16.27906976744186,150.0,-30.0,
CJ,2020,사업보고서,345320754.7169811,38.0,15.0,47.0,6.0,33.0,5.0,14.0,1.0,145.28110431444622,-7.317073170731707,0.0,-6.0,0.0,-8.333333333333332,0.0,0.0,0.0
CJ,2021,반기보고서,126966666.66666667,44.0,16.0,54.0,6.0,39.0,5.0,15.0,1.0,-63.232251484355075,15.789473684210526,6.666666666666667,14.893617021276595,0.0,18.181818181818183,0.0,7.142857142857142,0.0
CJ,2021,사업보고서,401457627.11864406,43.0,16.0,53.0,6.0,38.0,5.0,15.0,1.0,216.19135766761147,-2.272727272727273,0.0,-1.8518518518518516,0.0,-2.564102564102564,0.0,0.0,0.0
CJ,2022,반기보고서,144793650.7936508,46.0,17.0,55.0,8.0,39.0,7.0,16.0,1.0,-63.93301782983451,6.976744186046512,6.25,3.7735849056603774,33.33333333333333,2.631578947368421,40.0,6.666666666666667,0.0
CJ,2022,사업보고서,430865671.64179105,51.0,16.0,59.0,8.0,44.0,7.0,15.0,1.0,197.57221347766753,10.869565217391305,-5.88235294117647,7.2727272727272725,0.0,12.82051282051282,0.0,-6.25,0.0
CJ,2023,반기보고서,149171428.57142857,52.0,18.0,62.0,8.0,46.0,6.0,16.0,2.0,-65.37866941150854,1.9607843137254901,12.5,5.084745762711865,0.0,4.545454545454546,-14.285714285714285,6.666666666666667,100.0
CJ,2023,사업보고서,404074626.86567163,50.0,17.0,65.0,2.0,50.0,0.0,15.0,2.0,170.87937062437285,-3.8461538461538463,-5.555555555555555,4.838709677419355,-75.0,8.695652173913043,-100.0,-6.25,0.0
CJ,2024,반기보고서,172271186.44067797,43.0,16.0,58.0,1.0,43.0,0.0,15.0,1.0,-57.36649247765144,-14.000000000000002,-5.88235294117647,-10.76923076923077,-50.0,-14.000000000000002,,0.0,-50.0
CJ,2024,사업보고서,630516129.032258,45.0,17.0,61.0,1.0,45.0,0.0,16.0,1.0,266.00208198448667,4.651162790697675,6.25,5.172413793103448,0.0,4.651162790697675,,6.666666666666667,0.0
CJ CGV,2016,반기보고서,21544731.610337973,779.0,730.0,1506.0,3.0,777.0,2.0,729.0,1.0,,,,,,,,,
CJ CGV,2016,사업보고서,21245245.901639346,781.0,744.0,1519.0,6.0,777.0,4.0,742.0,2.0,-1.3900646994132064,0.25673940949935814,1.9178082191780823,0.8632138114209826,100.0,0.0,100.0,1.7832647462277091,100.0
CJ CGV,2017,반기보고서,21853996.224040277,792.0,797.0,1582.0,7.0,789.0,3.0,793.0,4.0,2.8653484418081425,1.4084507042253522,7.123655913978495,4.147465437788019,16.666666666666664,1.5444015444015444,-25.0,6.873315363881402,100.0
CJ CGV,2017,사업보고서,20279921.51733159,755.0,774.0,1523.0,6.0,755.0,0.0,768.0,6.0,-7.202685909578142,-4.671717171717172,-2.8858218318695106,-3.729456384323641,-14.285714285714285,-4.309252217997465,-100.0,-3.1525851197982346,50.0
CJ CGV,2018,반기보고서,5095801.3010053225,3041.0,3723.0,6762.0,2.0,3040.0,1.0,3722.0,1.0,-74.87267740829097,302.7814569536424,381.0077519379845,343.99212081418256,-66.66666666666666,302.6490066225166,,384.63541666666663,-83.33333333333334
CJ CGV,2018,사업보고서,5175979.183785264,3290.0,4012.0,7301.0,1.0,3289.0,1.0,4012.0,0.0,1.5734106972366455,8.188096021045709,7.76255707762557,7.971014492753622,-50.0,8.19078947368421,0.0,7.791509940891994,-100.0
CJ CGV,2019,반기보고서,5462382.202997065,2867.0,3606.0,5998.0,475.0,2664.0,203.0,3334.0,272.0,5.533310877853074,-12.857142857142856,-10.11964107676969,-17.846870291740856,47400.0,-19.002736394040742,20200.0,-16.899302093718845,
CJ CGV,2019,사업보고서,4543576.683644596,3218.0,3850.0,5058.0,2010.0,2299.0,919.0,2759.0,1091.0,-16.820601071238574,12.242762469480294,6.7665002773155845,-15.67189063021007,323.1578947368421,-13.701201201201203,352.70935960591135,-17.246550689862026,301.1029411764706
CJ CGV,2020,반기보고서,8673580.7860262,1615.0,2049.0,3550.0,114.0,1575.0,40.0,1975.0,74.0,90.89764275902466,-49.81354878806712,-46.77922077922078,-29.814155792803483,-94.32835820895522,-31.491953023053505,-95.6474428726877,-28.41609278724175,-93.21723189734189
CJ CGV,2020,사업보고서,9414468.99501069,1247.0,1559.0,2610.0,196.0,1166.0,81.0,1444.0,115.0,8.541895524604069,-22.78637770897833,-23.914104441190826,-26.478873239436616,71.9298245614035,-25.96825396825397,102.49999999999999,-26.88607594936709,55.4054054054054
CJ CGV,2021,반기보고서,9582940.108892921,1248.0,1507.0,2352.0,403.0,1097.0,151.0,1255.0,252.0,1.7894914091438814,0.08019246190858059,-3.3354714560615775,-9.885057471264368,105.61224489795917,-5.917667238421955,86.41975308641975,-13.088642659279778,119.1304347826087
CJ CGV,2021,사업보고서,8305227.655986509,1677.0,1881.0,2993.0,565.0,1430.0,247.0,1563.0,318.0,-13.333198771853965,34.375,24.817518248175183,27.253401360544217,40.198511166253105,30.355515041020965,63.576158940397356,24.54183266932271,26.190476190476193
CJ CGV,2022,반기보고서,6760134.324778125,1941.0,2228.0,3465.0,704.0,1601.0,340.0,1864.0,364.0,-18.60386488135172,15.742397137745975,18.44763423710792,15.770130304042768,24.601769911504427,11.958041958041958,37.65182186234818,19.257837492002558,14.465408805031446
CJ CGV,2022,사업보고서,6141968.451455232,2123.0,2378.0,3636.0,865.0,1728.0,395.0,1908.0,470.0,-9.14428387993876,9.376609994848016,6.732495511669659,4.935064935064935,22.869318181818183,7.932542161149282,16.176470588235293,2.3605150214592276,29.120879120879124
CJ CGV,2023,반기보고서,6640232.558139535,1965.0,2335.0,3601.0,699.0,1664.0,301.0,1937.0,398.0,8.112449789061484,-7.442298634008479,-1.808242220353238,-0.9625962596259627,-19.190751445086704,-3.7037037037037033,-23.79746835443038,1.519916142557652,-15.319148936170212
CJ CGV,2023,사업보고서,6010674.63706234,2101.0,2583.0,3734.0,950.0,1698.0,403.0,2036.0,547.0,-9.480961932658344,6.921119592875318,10.620985010706638,3.693418494862538,35.908440629470675,2.043269230769231,33.88704318936877,5.110996386164171,37.437185929648244
CJ CGV,2024,반기보고서,7439199.209095403,1788.0,2258.0,3428.0,618.0,1519.0,269.0,1909.0,349.0,23.766459811759837,-14.89766777724893,-12.582268679829657,-8.19496518478843,-34.94736842105263,-10.541813898704358,-33.25062034739454,-6.237721021611002,-36.19744058500914
CJ CGV,2024,사업보고서,6614885.23069789,1974.0,2339.0,3306.0,1007.0,1496.0,478.0,1810.0,529.0,-11.080681606021253,10.40268456375839,3.5872453498671386,-3.5589264877479576,62.944983818770226,-1.5141540487162608,77.69516728624535,-5.185961236249345,51.57593123209169
CJ대한통운,2016,반기보고서,24742062.429906543,4652.0,698.0,5015.0,335.0,4432.0,220.0,583.0,115.0,,,,,,,,,
CJ대한통운,2016,사업보고서,28283304.87804878,4703.0,709.0,5050.0,362.0,4455.0,248.0,595.0,114.0,14.312640501067614,1.0963026655202064,1.5759312320916905,0.6979062811565304,8.059701492537313,0.5189530685920578,12.727272727272727,2.0583190394511153,-0.8695652173913043
CJ대한통운,2017,반기보고서,26751333.39483395,4666.0,754.0,5218.0,202.0,4551.0,115.0,667.0,87.0,-5.41652218444891,-0.7867318732723793,6.346967559943582,3.326732673267327,-44.19889502762431,2.154882154882155,-53.62903225806451,12.100840336134453,-23.684210526315788
CJ대한통운,2017,사업보고서,30989875.518672198,4721.0,822.0,5187.0,356.0,4561.0,160.0,626.0,196.0,15.844227505522287,1.178739819974282,9.018567639257293,-0.5940973553085473,76.23762376237624,0.21973192704900021,39.130434782608695,-6.146926536731634,125.28735632183907
CJ대한통운,2018,반기보고서,27703600.901040856,5453.0,984.0,6035.0,402.0,5249.0,204.0,786.0,198.0,-10.604349203181783,15.505189578479136,19.708029197080293,16.34856371698477,12.921348314606742,15.084411313308484,27.500000000000004,25.559105431309902,1.0204081632653061
CJ대한통운,2018,사업보고서,28433323.937007874,5342.0,1008.0,5982.0,368.0,5174.0,168.0,808.0,200.0,2.6340367758459946,-2.035576746744911,2.4390243902439024,-0.8782104391052195,-8.45771144278607,-1.4288435892550961,-17.647058823529413,2.7989821882951653,1.0101010101010102
CJ대한통운,2019,반기보고서,28560041.22257053,5440.0,940.0,6220.0,160.0,5310.0,130.0,910.0,30.0,0.44566469204722775,1.8345189067764882,-6.746031746031746,3.9786024740889334,-56.52173913043478,2.6285272516428293,-22.61904761904762,12.623762376237623,-85.0
CJ대한통운,2019,사업보고서,26912226.643598616,5422.0,936.0,6124.0,234.0,5264.0,158.0,860.0,76.0,-5.769650562232642,-0.33088235294117646,-0.425531914893617,-1.5434083601286173,46.25,-0.8662900188323917,21.53846153846154,-5.4945054945054945,153.33333333333334
CJ대한통운,2020,반기보고서,28147195.141441584,5349.0,908.0,6072.0,185.0,5188.0,161.0,884.0,24.0,4.588875213477436,-1.3463666543710808,-2.9914529914529915,-0.8491182233834096,-20.94017094017094,-1.4437689969604863,1.89873417721519,2.7906976744186047,-68.42105263157895
CJ대한통운,2020,사업보고서,36962933.50302259,5375.0,911.0,6063.0,223.0,5220.0,155.0,843.0,68.0,31.320130895037025,0.4860721630211255,0.3303964757709251,-0.14822134387351776,20.54054054054054,0.6168080185042405,-3.7267080745341614,-4.638009049773756,183.33333333333331
CJ대한통운,2021,반기보고서,27047734.627831716,5319.0,861.0,6031.0,149.0,5192.0,127.0,839.0,22.0,-26.824707715311806,-1.041860465116279,-5.488474204171241,-0.5277915223486722,-33.18385650224215,-0.5363984674329502,-18.064516129032256,-0.4744958481613286,-67.64705882352942
CJ대한통운,2021,사업보고서,45402928.67264998,5463.0,888.0,6199.0,152.0,5336.0,127.0,863.0,25.0,67.86222320419782,2.707275803722504,3.1358885017421603,2.7856076935831537,2.013422818791946,2.773497688751926,0.0,2.860548271752086,13.636363636363635
CJ대한통운,2022,반기보고서,30509812.870835233,5626.0,947.0,6434.0,139.0,5520.0,106.0,914.0,33.0,-32.80210382284465,2.9837085850265423,6.6441441441441444,3.79093402161639,-8.552631578947368,3.4482758620689653,-16.535433070866144,5.909617612977984,32.0
CJ대한통운,2022,사업보고서,40120732.23884934,5883.0,1000.0,6739.0,144.0,5769.0,114.0,970.0,30.0,31.501076092149106,4.568076786349094,5.59662090813094,4.740441405035748,3.597122302158273,4.510869565217392,7.547169811320755,6.12691466083151,-9.090909090909092
CJ대한통운,2023,반기보고서,32596468.56158484,5933.0,1033.0,6778.0,188.0,5779.0,154.0,999.0,34.0,-18.754053720830832,0.8499065102838688,3.3000000000000003,0.5787208784686155,30.555555555555557,0.17334026694401108,35.08771929824561,2.9896907216494846,13.333333333333334
CJ대한통운,2023,사업보고서,43158784.26359892,5969.0,1072.0,6841.0,200.0,5809.0,160.0,1032.0,40.0,32.40325154259759,0.60677566155402,3.77541142303969,0.9294777220419003,6.382978723404255,0.5191209551825575,3.896103896103896,3.303303303303303,17.647058823529413
CJ대한통운,2024,반기보고서,34820168.54735038,5920.0,1081.0,6808.0,193.0,5761.0,159.0,1047.0,34.0,-19.320784536744974,-0.8209080247947731,0.8395522388059702,-0.4823856161379915,-3.5000000000000004,-0.8263040110173867,-0.625,1.4534883720930232,-15.0
CJ대한통운,2024,사업보고서,43992002.28506141,5895.0,1107.0,6817.0,185.0,5744.0,151.0,1073.0,34.0,26.34057823482006,-0.4222972972972973,2.4051803885291396,0.13219741480611047,-4.145077720207254,-0.2950876583926402,-5.031446540880504,2.483285577841452,0.0
CJ씨푸드,2016,반기보고서,19891358.02469136,196.0,209.0,357.0,48.0,189.0,7.0,168.0,41.0,,,,,,,,,
CJ씨푸드,2016,사업보고서,20878109.452736318,193.0,209.0,372.0,30.0,185.0,8.0,187.0,22.0,4.960704175250854,-1.530612244897959,0.0,4.201680672268908,-37.5,-2.1164021164021163,14.285714285714285,11.30952380952381,-46.34146341463415
CJ씨푸드,2017,반기보고서,18981818.181818184,187.0,198.0,373.0,12.0,186.0,1.0,187.0,11.0,-9.082677122710473,-3.1088082901554404,-5.263157894736842,0.2688172043010753,-60.0,0.5405405405405406,-87.5,0.0,-50.0
CJ씨푸드,2017,사업보고서,17463541.666666668,193.0,191.0,377.0,7.0,192.0,1.0,185.0,6.0,-7.9985831736909345,3.2085561497326207,-3.535353535353535,1.0723860589812333,-41.66666666666667,3.225806451612903,0.0,-1.06951871657754,-45.45454545454545
CJ씨푸드,2018,반기보고서,19568292.68292683,216.0,194.0,407.0,3.0,214.0,2.0,193.0,1.0,12.052257534206714,11.917098445595855,1.5706806282722512,7.957559681697612,-57.14285714285714,11.458333333333332,100.0,4.324324324324325,-83.33333333333334
CJ씨푸드,2018,사업보고서,18986754.96688742,231.0,222.0,436.0,17.0,226.0,5.0,210.0,12.0,-2.9718367640054693,6.944444444444445,14.432989690721648,7.125307125307126,466.6666666666667,5.607476635514018,150.0,8.808290155440414,1100.0
CJ씨푸드,2019,반기보고서,19313501.14416476,226.0,211.0,417.0,20.0,216.0,10.0,201.0,10.0,1.7209163853811846,-2.1645021645021645,-4.954954954954955,-4.3577981651376145,17.647058823529413,-4.424778761061947,100.0,-4.285714285714286,-16.666666666666664
